index,speaker,file,rec_date,ipu_prompt,word,time,sentence_ons,sentence_off,word_ons,word_off,v1_ons,c2_ons,v2_ons,c1_rel,c2_rel
1,it05,it05-001,11/06/2017 16:46:46,ipu_1 Dico pudu lentamente,pudu,0.934966,0.934966,2.859955,1.3485534429347694,1.877910616943378,1.5051999536107863,1.6510432566539743,1.7212641062673613,1.4762251993463897,1.7097206217919432
2,it05,it05-002,11/06/2017 16:47:19,ipu_2 Dico pugu lentamente,pugu,4.164989,1.1463948956916101,2.60634889569161,1.4263948956916095,1.8243506289821165,1.5614727772281483,1.6623026381748756,1.730722900960155,1.5189710735111208,--undefined--
3,it05,it05-003,11/06/2017 16:47:24,ipu_3 Dico putu lentamente,putu,6.454966,0.5338775646258496,2.0338775646258496,0.8138775646258498,1.2349894125425287,0.9415025107921444,1.03152916777079,1.144962755563883,--undefined--,1.1340327281565177
4,it05,it05-004,11/06/2017 16:47:30,ipu_4 Dico poto lentamente,poto,9.144989,0.8322452358276653,2.2622222358276645,1.0693190902158474,1.4474309918064012,1.1809521278282968,1.274579836793576,1.3822452358276642,1.143959974854992,1.372561730863639
5,it05,it05-005,11/06/2017 16:47:37,ipu_5 Dico pata lentamente,pata,11.834966,0.7358276780045347,2.135782678004535,0.975827678004535,1.3358276780045344,1.065294886980647,1.1679252602695112,1.2777577650172436,--undefined--,1.262995948846605
6,it05,it05-006,11/06/2017 16:48:24,ipu_6 Dico pucu lentamente,pucu,14.424989,1.0270751678004544,2.5020411678004546,1.327075167800455,1.6770751678004547,1.4270751678004547,1.547075167800454,1.5870751678004549,1.394279400403212,--undefined--
7,it05,it05-007,11/06/2017 16:48:29,ipu_7 Dico paga lentamente,paga,17.294966,1.1454875419501143,2.5404985419501145,1.3754875419501147,1.721892721973962,1.4654875419501145,1.5796507342294355,1.6454875419501143,--undefined--,--undefined--
8,it05,it05-008,11/06/2017 16:48:34,ipu_8 Dico poco lentamente,poco,19.809977,0.8160540975056705,2.1309750975056723,1.0160540975056698,1.383515763204084,1.117037102619399,1.207063677141253,1.3204971610387872,1.1028352762998566,1.2828881802210113
9,it05,it05-009,11/06/2017 16:48:39,ipu_9 Dico paca lentamente,paca,22.229977,0.8676187233560135,2.2825847233560133,1.1027251243138778,1.4718340798534726,1.1909511673452933,1.3007835882619538,1.4076187233560127,1.1836554123070329,1.3910281111711988
10,it05,it05-010,11/06/2017 16:48:45,ipu_10 Dico pogo lentamente,pogo,24.994966,0.9623129387755149,2.387301938775515,1.222312938775513,1.589945092307918,1.3260116958044428,1.4268414592689176,1.512312938775512,1.3054899681528838,1.5057497447114727
11,it05,it05-011,11/06/2017 16:48:51,ipu_11 Dico pada lentamente,pada,27.664989,0.7646715396825421,2.544625539682542,1.0346715396825452,1.3921980032839052,1.1239188112087888,1.2733629249150624,1.332780464099482,1.1157826507936548,--undefined--
12,it05,it05-012,11/06/2017 16:48:57,ipu_12 Dico podo lentamente,podo,30.884989,1.1402270952380995,2.5051700952380997,1.380227095238098,1.7361799180330273,1.4823050037178653,1.601140069993047,1.660227095238099,1.460139691872424,--undefined--
13,it05,it05-013,11/06/2017 16:49:14,ipu_13 Dico pudu lentamente,pudu,33.439955,0.8507486507936548,2.320725650793655,1.0807486507936588,1.4336527058840858,1.2211900548785266,1.2986128853297032,1.367033061077258,1.175525305894574,--undefined--
14,it05,it05-014,11/06/2017 16:49:20,ipu_14 Dico pugu lentamente,pugu,36.354966,1.1883446848072623,2.6183216848072632,1.4383446848072623,1.8183446848072649,1.5877497950562898,1.6543694398631246,1.7245901465513995,1.5459193747163624,--undefined--
15,it05,it05-015,11/06/2017 16:49:25,ipu_15 Dico putu lentamente,putu,38.94,0.9173242630385516,2.3272562630385565,1.1573242630385536,1.5231857342781723,1.2693108716359376,1.3673242630385545,1.4511644966491701,1.2404912217063853,1.426269473054525
16,it05,it05-016,11/06/2017 16:49:32,ipu_16 Dico poto lentamente,poto,41.489977,0.9131062517006896,2.268027251700687,1.1531062517006845,1.4959649110834619,1.253106251700686,1.3321165954774798,1.4293452662766342,1.2369424182298943,1.4173858692591566
17,it05,it05-017,11/06/2017 16:49:56,ipu_17 Dico pata lentamente,pata,44.239955,1.3062588548752885,2.6012698548752837,1.5468364411056683,1.8691314794954579,1.6262588548752888,1.726258854875283,1.8097139584515318,--undefined--,1.7982808556468655
18,it05,it05-018,11/06/2017 16:50:01,ipu_18 Dico pucu lentamente,pucu,46.744989,0.9087985238095229,2.2537415238095235,1.1387985238095268,1.5053947528973808,1.2660652821749636,1.3272833341596169,1.4299135977809456,1.23945181079079,1.403300492704254
19,it05,it05-019,11/06/2017 16:50:06,ipu_19 Dico paga lentamente,paga,49.164989,0.7397735804988699,2.0997275804988718,0.9814484800182228,1.3097735804988702,1.0714750270544826,1.1741052906758114,1.2397735804988699,1.0617457326785598,--undefined--
20,it05,it05-020,11/06/2017 16:50:11,ipu_20 Dico poco lentamente,poco,51.684989,0.868118251700686,2.2030842517006874,1.108118251700681,1.4581667751737228,1.2060924434722153,1.2889168667455664,1.3915471303668951,1.1854482631766246,1.3588715152716446
21,it05,it05-021,11/06/2017 16:50:18,ipu_21 Dico paca lentamente,paca,54.014966,0.9109297188208672,2.2458957188208686,1.1509297188208691,1.4909297188208654,1.2531041161936898,1.3359285394670408,1.4309297188208632,1.2408843673469505,1.4166298679623353
