speaker,file,word,time,f1,f2,f3,f0
pl06,pl06-001,kinematics,1,475.9376502452278,839.829116716965,2322.635276805026,103.57517325734244
pl06,pl06-001,kinematics,2,488.4189219680544,878.9797839433138,2309.4257342384326,88.85729247911884
pl06,pl06-001,kinematics,3,476.8314268242372,893.1926989427326,2311.0211361169563,85.27263094048199
pl06,pl06-001,kinematics,4,479.3729500483386,912.5386033199427,2297.085098638477,85.4186735220483
pl06,pl06-001,kinematics,5,475.76748310478774,933.7576587718411,2273.824805784855,86.16740162293233
pl06,pl06-001,kinematics,6,464.0165652169907,933.8812629019484,2259.119522500363,86.8297167872853
pl06,pl06-001,kinematics,7,450.3141555899699,927.9739249944503,2261.8242154786894,87.24383777970085
pl06,pl06-001,kinematics,8,430.0003476155364,953.4116503979977,2276.4953376148974,86.76696792728876
pl06,pl06-001,kinematics,9,426.42715386318616,1003.7292506235763,2287.2315564386595,85.44364482017073
pl06,pl06-002,kinematics,1,367.9305763434705,729.6551150184443,2504.817147757648,89.65235531778146
pl06,pl06-002,kinematics,2,366.1361235922632,714.6017765194927,2538.090673090816,89.50277541198405
pl06,pl06-002,kinematics,3,360.0963371652005,706.0958145116069,2527.8153542532464,88.54751313032311
pl06,pl06-002,kinematics,4,351.9202421548566,697.5219065478384,2579.6415017903687,87.54835847336145
pl06,pl06-002,kinematics,5,355.0586905005399,705.3149002802527,2506.196007347304,86.89915741611958
pl06,pl06-002,kinematics,6,353.836083438015,699.9517145837613,2463.6787997148836,85.98574345501495
pl06,pl06-002,kinematics,7,362.241322416421,619.5010306553409,2092.847294188217,85.11018963441278
pl06,pl06-002,kinematics,8,317.32313533851146,546.9626084952936,1925.585160197992,84.66383642636026
pl06,pl06-002,kinematics,9,252.7280041619853,704.6176049145985,2195.5590194888846,84.19507102347299
pl06,pl06-003,kinematics,1,463.02968889435107,858.0941353595874,2228.7140380378232,99.06372918300049
pl06,pl06-003,kinematics,2,475.37275155239115,818.5212708129831,2209.820176759748,93.85779615844258
pl06,pl06-003,kinematics,3,477.0900840144046,820.5620520399077,2203.9989924045362,84.88685800411292
pl06,pl06-003,kinematics,4,452.0680766652653,846.8341732547905,2216.24910804393,89.51753658035997
pl06,pl06-003,kinematics,5,429.63480181484306,845.713197437224,2203.103662169457,89.2379808422875
pl06,pl06-003,kinematics,6,434.9437153354438,781.1858382136556,2115.1951903088793,87.35295292154613
pl06,pl06-003,kinematics,7,422.49470742986716,804.6729674147863,2118.6429724207446,85.13252035925645
pl06,pl06-003,kinematics,8,419.51340594173007,840.0821561830013,2118.166436930195,83.75888416812295
pl06,pl06-003,kinematics,9,368.280200624419,870.3576634454549,2079.6206171692766,81.78350735246589
pl06,pl06-004,kinematics,1,377.5927977602389,741.8942610492452,2384.0112515251526,100.04114975935961
pl06,pl06-004,kinematics,2,367.05476760100885,750.4227210243154,2532.95586409028,98.4624270752816
pl06,pl06-004,kinematics,3,359.8690471867764,767.6354105559396,2456.5540586622637,97.01413188868142
pl06,pl06-004,kinematics,4,352.6837915495567,811.4940123106676,2403.319577028579,95.35735617355367
pl06,pl06-004,kinematics,5,354.6873676699944,854.8170329284785,2443.086196576197,93.5734132000359
pl06,pl06-004,kinematics,6,356.6829600931217,911.4700976620707,2525.610934619747,91.55965343592922
pl06,pl06-004,kinematics,7,358.2804256087051,997.7222295668213,2494.734130800264,89.97239915845513
pl06,pl06-004,kinematics,8,357.2094824002886,1082.38971292577,2327.827695908463,89.22720279006312
pl06,pl06-004,kinematics,9,351.8361558809353,1120.5878989221958,2319.1687171552067,88.69338144598592
pl06,pl06-005,kinematics,1,462.44557344054,843.1504542529982,2346.9546807779366,85.9535868230592
pl06,pl06-005,kinematics,2,465.0250779478289,813.1556101273491,2410.4444779857304,86.23359089314506
pl06,pl06-005,kinematics,3,457.3210281381755,831.3815366195888,2384.4679313788106,86.77164884938476
pl06,pl06-005,kinematics,4,454.25613108139265,822.4861721110465,2382.7007566576576,88.09476758878598
pl06,pl06-005,kinematics,5,447.03944316182924,849.1350130482098,2410.688435944217,89.12415033461755
pl06,pl06-005,kinematics,6,465.5734920811693,850.8190761213077,2420.6898379546446,89.6491699822508
pl06,pl06-005,kinematics,7,451.8969523255827,834.4895826933259,2378.0313236725974,89.10826650660083
pl06,pl06-005,kinematics,8,450.5471568927874,861.6455983605048,2390.7169848958374,88.32838273210504
pl06,pl06-005,kinematics,9,415.9534512024985,906.5887112795525,2502.0497547366795,87.48566178000445
pl06,pl06-006,kinematics,1,550.2390143345068,1012.1443011318258,2223.0503756362777,--undefined--
pl06,pl06-006,kinematics,2,571.0565428553168,1061.5118306588522,2261.535971801787,--undefined--
pl06,pl06-006,kinematics,3,576.3590426161883,1059.561583214404,2259.177217179928,82.55758425894544
pl06,pl06-006,kinematics,4,582.9212095966574,1072.8624129729997,2269.812739927036,82.43850072538297
pl06,pl06-006,kinematics,5,579.9706944182096,1077.8761212919283,2269.7225280802245,83.0748567230484
pl06,pl06-006,kinematics,6,577.0175195889768,1057.465137375062,2296.4523153181663,83.80267694626053
pl06,pl06-006,kinematics,7,574.890815855076,1046.7800855253258,2315.1596031489084,84.341025015336
pl06,pl06-006,kinematics,8,547.4719293939582,1018.495021802867,2259.917783079632,84.2368291037842
pl06,pl06-006,kinematics,9,536.1926416211426,985.6521731258127,2209.45368762855,83.58391407835548
pl06,pl06-007,kinematics,1,462.68582144783596,764.8734284343868,2112.475948345092,98.51312494533117
pl06,pl06-007,kinematics,2,471.789860184118,794.8463155721083,2099.661235994649,88.48441516642688
pl06,pl06-007,kinematics,3,474.8958789919953,769.5323382739649,2085.430028515797,82.71291722133901
pl06,pl06-007,kinematics,4,475.108741211807,754.591428658414,2067.3090336728833,82.63109897886272
pl06,pl06-007,kinematics,5,479.6531716610098,830.6429924940423,2068.3259896374925,82.7530072526738
pl06,pl06-007,kinematics,6,461.93798696974414,838.6482221064863,2099.1134641156336,82.80644347116923
pl06,pl06-007,kinematics,7,459.042021728482,850.7962289852808,2107.529837242335,82.71716655637476
pl06,pl06-007,kinematics,8,452.4594844435815,838.4951924051134,2119.938123195187,82.48873323885454
pl06,pl06-007,kinematics,9,433.2194976521772,806.690293152033,2111.164760189152,82.14250989085296
pl06,pl06-008,kinematics,1,388.3242267131417,681.0782119792373,2276.8109167136813,88.92340339554103
pl06,pl06-008,kinematics,2,363.1771941910188,712.0620881687622,2338.458000728506,89.25127888920981
pl06,pl06-008,kinematics,3,365.6333941084068,701.714843097881,2320.285232160088,89.66251106108994
pl06,pl06-008,kinematics,4,361.0411495802379,706.0196677599824,2287.200550144321,90.18338513475096
pl06,pl06-008,kinematics,5,356.71485274423316,704.7467871635783,2312.6536110733573,90.26235162939955
pl06,pl06-008,kinematics,6,350.91205593764477,699.5185242723688,2337.5722008261127,89.39693989257589
pl06,pl06-008,kinematics,7,342.07298772142985,692.4734028673383,2304.240436313557,88.44127346075025
pl06,pl06-008,kinematics,8,345.48055650300677,686.0915153779363,2354.5377335106277,87.13696244411744
pl06,pl06-008,kinematics,9,349.2217325360565,671.3121224307598,2287.1534155524623,85.80319670125753
pl06,pl06-009,kinematics,1,547.1925961082025,988.4132979834553,2147.299150744281,--undefined--
pl06,pl06-009,kinematics,2,562.0120916836286,1009.8754682382884,2157.948419456509,83.16928184846583
pl06,pl06-009,kinematics,3,565.5688473147718,1031.3667154991804,2163.6774485747264,83.15456557058029
pl06,pl06-009,kinematics,4,575.3076676324207,1041.2936665764728,2182.4539594540342,83.30740028323204
pl06,pl06-009,kinematics,5,568.3379147333977,1054.0263080509962,2181.9139043692,83.74267976893815
pl06,pl06-009,kinematics,6,557.3479743483217,1038.0285109355334,2174.4811990710446,84.29338442596091
pl06,pl06-009,kinematics,7,545.0469264068136,1020.5684215943501,2134.4078105652466,84.54961405221773
pl06,pl06-009,kinematics,8,511.35686844338807,1015.5722624236771,2215.82254152899,83.91727582821527
pl06,pl06-009,kinematics,9,480.9877343658701,1064.2006799799055,2155.685801055163,81.54343786419206
pl06,pl06-010,kinematics,1,535.0699032535563,871.879342172129,2081.496381241211,80.9003684883014
pl06,pl06-010,kinematics,2,527.6786376481994,877.6512277817052,2114.422378770451,80.9391621197252
pl06,pl06-010,kinematics,3,535.0480375096497,913.188247618339,2093.721343945697,80.92775549974941
pl06,pl06-010,kinematics,4,545.7294621125308,964.1699146417834,2062.307280691772,80.81840351934774
pl06,pl06-010,kinematics,5,557.7526340509728,982.3355043490284,2052.8418349612125,81.34875379233578
pl06,pl06-010,kinematics,6,539.9688095784312,1019.7696136476098,2002.1423316247774,81.90178877233292
pl06,pl06-010,kinematics,7,545.6388129284601,1099.8553497339378,1993.3367650157024,82.07682683276408
pl06,pl06-010,kinematics,8,546.3185972095321,1180.5711741842929,1978.6180634672955,81.55212053292621
pl06,pl06-010,kinematics,9,480.9543659969336,1229.2006051306312,1970.0806997865238,79.92504176984912
pl06,pl06-011,kinematics,1,339.54819838827825,651.027483899133,2474.739944158497,--undefined--
pl06,pl06-011,kinematics,2,342.87834248381785,678.5878547783633,2583.7197002181006,--undefined--
pl06,pl06-011,kinematics,3,347.4500101492741,730.1203391132518,2571.4656508924054,85.69789153496293
pl06,pl06-011,kinematics,4,344.3307401971093,732.6384913916237,2462.843296915566,91.98268461078091
pl06,pl06-011,kinematics,5,341.43025282772527,773.5926962143409,2378.7130736931895,102.06038309065401
pl06,pl06-011,kinematics,6,343.8188883635954,870.5794072191266,2401.869017835263,93.51892858501662
