index,speaker,file,rec_date,ipu_prompt,word,time,sentence_ons,sentence_off,word_ons,word_off,v1_ons,c2_ons,v2_ons,c1_rel,c2_rel
1,pl06,pl06-001,21/02/2018 14:57:17,ipu_1 Mowie poto teraz,poto,1.119955,1.119955,2.284989,1.5595701305040752,1.879955,1.6486915008997627,1.7059838104398477,1.8014709930066557,1.620578164621967,1.769745789897162
2,pl06,pl06-002,21/02/2018 14:57:21,ipu_2 Mowie pugu teraz,pugu,3.654966,0.8917913968253965,2.101768396825397,1.3517913968253965,1.7217913968253966,1.4745677389417913,1.5617913968253965,1.6417913968253965,1.4523845181455548,--undefined--
3,pl06,pl06-003,21/02/2018 14:57:25,ipu_3 Mowie poko teraz,poko,6.049977,0.25659831519274334,1.4115643151927433,0.7012771932986341,1.033208827935633,0.7931267689105166,0.8686071132252309,0.9777353218730118,0.7806648421567948,0.9417746183756321
4,pl06,pl06-004,21/02/2018 14:57:30,ipu_4 Mowie putu teraz,putu,8.644943,0.6921085328798178,1.8271205328798175,1.1450090746692325,1.4621085328798173,1.2423150607135032,1.3032449772085144,1.4121085328798184,1.2157018390366723,1.355267000780147
5,pl06,pl06-005,21/02/2018 14:57:34,ipu_5 Mowie podo teraz,podo,11.599955,1.081315544217686,2.276326544217687,1.569782850787055,1.891711066298008,1.6813155442176857,1.7452973863622354,1.8271435428480718,1.6560887662771737,--undefined--
6,pl06,pl06-006,21/02/2018 14:57:39,ipu_6 Mowie pata teraz,pata,14.419955,1.1497509183673458,2.279772918367346,1.599750918367345,1.9067192911821937,1.7102885156161882,1.7830406547147089,1.8603398025068874,1.6938769403417453,1.8347383728030948
7,pl06,pl06-007,21/02/2018 14:57:43,ipu_7 Mowie pogo teraz,pogo,17.004989,1.0528801564625816,2.2478461564625825,1.5528801564625816,1.8653097467211097,1.6425063207318935,1.7188960667853408,1.7925576076225909,1.6265628861006824,--undefined--
8,pl06,pl06-008,21/02/2018 14:57:48,ipu_8 Mowie puku teraz,puku,19.694966,0.9100226893424015,2.105033689342399,1.4000226893424,1.7173183829446472,1.5026995726040155,1.550022689342402,1.6763953047017317,1.480036249763753,1.6420170906902563
9,pl06,pl06-009,21/02/2018 14:57:52,ipu_9 Mowie pada teraz,pada,22.384989,1.150340473922899,2.270294473922899,1.6227690383049342,1.8928613547081916,1.6855177582774097,1.7691827182407067,1.8228374208258664,1.6687947518083668,1.8143821026207938
10,pl06,pl06-010,21/02/2018 14:57:57,ipu_10 Mowie paka teraz,paka,25.054966,1.1268027346938752,2.2967797346938745,1.5568027346938749,1.923235789040831,1.6822443282769832,1.760452877807893,1.8732186934105997,1.666747085306639,1.8137484025826502
11,pl06,pl06-011,21/02/2018 14:58:01,ipu_11 Mowie pudu teraz,pudu,27.749977,0.9657593129251687,2.235737312925167,1.5057593129251678,1.8249894090121614,1.6231022230137668,1.6831227377700486,1.7695159029495393,1.5939934897145704,1.7485381077616609
12,pl06,pl06-012,21/02/2018 14:58:06,ipu_12 Mowie paga teraz,paga,30.484943,0.9839906190476171,2.2140136190476163,1.4639906190476175,1.8237464737498854,1.5772986025536468,1.6700575799042632,1.748266129435173,1.5617341364596022,1.7290701672752675
13,pl06,pl06-013,21/02/2018 14:58:25,ipu_13 Mowie poto teraz,poto,33.484943,1.3020858571428562,2.4770978571428515,1.7590598781298752,2.0691658710373133,1.8620858571428585,1.9200239858853507,2.015511168452157,1.8287340683008182,1.9903346174458107
14,pl06,pl06-014,21/02/2018 14:58:30,ipu_14 Mowie pugu teraz,pugu,36.249977,1.2226754126984147,2.4076644126984164,1.6769704841191242,2.0125397257110507,1.8051961292802687,1.8570320283879624,1.9425157918287255,1.7719549243304868,1.914419346077004
15,pl06,pl06-015,21/02/2018 14:58:34,ipu_15 Mowie poko teraz,poko,38.934966,0.9587301723356063,2.1537411723356,1.4165698024296773,1.7630518648863855,1.521151002383803,1.5975407484372468,1.7066689570850286,1.4941827680511253,1.6431827087841313
16,pl06,pl06-016,21/02/2018 14:58:39,ipu_16 Mowie putu teraz,putu,41.404989,0.9093880929705236,2.1843540929705227,1.4393880929705247,1.761610745248099,1.5533577470785858,1.6106500566186739,1.7106842478791364,--undefined--,--undefined--
17,pl06,pl06-017,21/02/2018 14:58:43,ipu_17 Mowie podo teraz,podo,43.949977,0.9234010362811773,2.2683900362811826,1.5134010362811807,1.849100240595206,1.6162933954799428,1.6890455345784616,1.7617976736769805,1.5901584171271068,1.7543369858669564
18,pl06,pl06-018,21/02/2018 14:58:48,ipu_18 Mowie pata teraz,pata,46.584989,0.8184583877551006,2.0734243877551037,1.2784583877551015,1.6439716977575571,1.3920674161289313,1.4657289569661813,1.5584583877551026,1.3732265466220568,1.5279719431550376
19,pl06,pl06-019,21/02/2018 14:58:52,ipu_19 Mowie pogo teraz,pogo,49.349977,0.9015416258503421,2.07650762585034,1.3724799900644982,1.6844047864494058,1.4715416258503424,1.5461757221622179,1.6015416258503379,1.4648637176597248,1.5935365227063443
20,pl06,pl06-020,21/02/2018 14:58:58,ipu_20 Mowie puku teraz,puku,51.754966,0.7175056825396879,1.9424946825396816,1.217505682539688,1.5405887820455888,1.3032349282366695,1.3696212551640699,1.497505682539682,1.286018036027322,1.4551684780468719
21,pl06,pl06-021,21/02/2018 14:59:03,ipu_21 Mowie pada teraz,pada,54.944989,0.9934243741496616,2.4333783741496617,1.5734243741496599,2.0271352711735275,1.7370361165181762,1.8270668886525954,1.9234634729581401,1.7174668903931973,1.90875611228293
