index,speaker,file,rec_date,word,sentence_ons,sentence_off,word_ons,word_off,v1_ons,c2_ons,v2_ons,c1_rel,c2_rel
1,pl05,pl05-001,26/05/2017 18:28:59,pata,1.019955,1.994966,1.309955,1.6483577571132426,1.419955,1.4988409447202746,1.569955,1.403495724692527,1.5516998804407025
2,pl05,pl05-002,26/05/2017 18:29:03,paga,0.747800467120181,1.8177774671201807,1.0678004671201813,1.473172600345955,1.1978004671201812,1.3178004671201813,1.383827209757655,1.1787061216198116,1.3700498049715866
3,pl05,pl05-003,26/05/2017 18:29:07,puku,0.7451247301587305,1.8151017301587302,1.0651247301587299,1.4379599725843129,1.1918044441067526,1.2683861640775493,1.35512473015873,1.166827872071753,1.3370932900653347
4,pl05,pl05-004,26/05/2017 18:29:11,poto,0.7911561519274377,1.876190151927438,1.1290334283901489,1.5174531310038093,1.2530227593403733,1.3487498163240028,1.4380950695087238,1.2330614717916983,1.4208900670923752
5,pl05,pl05-005,26/05/2017 18:29:14,pudu,0.8525627097505666,1.912562709750567,1.162562709750567,1.5524051136994892,1.292562709750566,1.3809432029001183,1.465152307020519,1.2650621750965723,1.4515531178974843
6,pl05,pl05-006,26/05/2017 18:29:17,podo,0.8904311768707487,2.0004081768707476,1.2117931032296827,1.623707516155978,1.3457160158067047,1.462391280551838,1.5204311768707477,1.3237549285221561,--undefined--
7,pl05,pl05-007,26/05/2017 18:29:21,pugu,0.9985937800453524,2.178548780045352,1.369258687842045,1.7999061388384199,1.5085937800453522,1.6036237848518358,1.7014930966026718,1.4700144023748631,1.6871690926936047
8,pl05,pl05-008,26/05/2017 18:29:25,pada,0.931156814058955,2.056144814058957,1.2611568140589569,1.6838117879580317,1.4010411525256927,1.5298912181333222,1.5711568140589556,1.358654609261169,--undefined--
9,pl05,pl05-009,26/05/2017 18:29:28,poko,0.7961454625850344,1.9011334625850367,1.1461454625850358,1.5247557737517532,1.2661454625850368,1.346145462585035,1.4506923502135116,1.2475070428625372,1.4178417899034805
10,pl05,pl05-010,26/05/2017 18:29:32,paka,0.8839459297052166,1.9639459297052184,1.1751398002049953,1.5724713059266833,1.2924506909053832,1.403038542489881,1.5039459297052176,1.2779125223687124,1.4754990619579793
11,pl05,pl05-011,26/05/2017 18:29:35,putu,0.834784918367351,1.904761918367349,1.1535825963809856,1.5224646534873045,1.2747849183673488,1.3550610249419606,1.4447849183673505,1.2468807685933925,1.4306392879332108
12,pl05,pl05-012,26/05/2017 18:29:39,pogo,0.7354198390022688,1.7653968390022676,1.025419839002268,1.4116214375906395,1.1498630365924676,1.251319781165403,1.3030627208976,1.1203635026285852,1.2923189557676764
13,pl05,pl05-013,26/05/2017 18:29:53,pata,1.00263073696145,2.037641736961451,1.2926307369614527,1.668084431854254,1.4042968959646203,1.499666235863181,1.5826307369614518,1.3871901518030398,1.5626820581842615
14,pl05,pl05-014,26/05/2017 18:29:56,paga,0.749206362811794,1.8241723628117903,1.0392063628117931,1.4616678786490347,1.1692063628117957,1.2902060676185378,1.3632548865191048,1.1264784122661773,1.3475059251655317
15,pl05,pl05-015,26/05/2017 18:29:59,puku,0.715101716553292,1.760090716553286,1.0351017165532923,1.3997755512891814,1.1651017165532878,1.22510171655329,1.3358578394001768,1.1372641086446151,1.3085974814899188
16,pl05,pl05-016,26/05/2017 18:30:03,poto,0.7354648662131495,1.79047586621315,1.0154648662131507,1.4197941285415965,1.1509339118656357,1.2452886294160663,1.3386287801111152,1.1224907007973783,1.3217820304612715
17,pl05,pl05-017,26/05/2017 18:30:06,pudu,0.6487078344671176,1.718684834467119,0.9487078344671218,1.3549072565635711,1.0987078344671204,1.191180053659231,1.268287134668185,1.062024370366771,1.254388437035196
18,pl05,pl05-018,26/05/2017 18:30:09,podo,0.5776420748299316,1.62766407482993,0.8676420748299307,1.2593678285339038,0.9996387135563651,1.0990662653837049,1.171100512115757,0.9705349333772588,1.1623997395739565
19,pl05,pl05-019,26/05/2017 18:30:12,pugu,0.7173239523809514,1.8173239523809528,1.0073239523809505,1.4450462929569383,1.167323952380947,1.245176622446877,1.3446041742742167,1.1242573222660042,1.3297949380462057
20,pl05,pl05-020,26/05/2017 18:30:16,pada,0.7969614648526075,1.871972464852604,1.0969614648526047,1.497818967197233,1.2259150499551268,1.3507067731669906,1.406961464852607,1.2112291944328177,1.3997331609267434
21,pl05,pl05-021,26/05/2017 18:30:19,poko,0.7302951360544228,1.7952831360544224,1.020295136054422,1.43795919850956,1.1602951360544225,1.2502951360544188,1.3602951360544182,1.135635927850828,1.3298056704369046
22,pl05,pl05-022,26/05/2017 18:30:23,paka,0.7705212176870688,1.830476217687071,1.059166510988078,1.4639786862850954,1.1809145336337963,1.2813566523165107,1.3848424715653778,1.1656347797356759,1.3509615551459717
23,pl05,pl05-023,26/05/2017 18:30:26,putu,0.8036738208616683,1.888661820861671,1.1251926705380626,1.5086989418720833,1.2636738208616691,1.340280843878837,1.4336738208616708,1.2259099697183444,1.4167479301615344
24,pl05,pl05-024,26/05/2017 18:30:30,pogo,0.7524266281179095,1.8023586281179078,1.0624266281179118,1.4325734299507857,1.1924266281179072,1.2854612359205362,1.363582883784872,1.1636557290530618,1.342331097655972
25,pl05,pl05-025,26/05/2017 18:30:44,pata,0.8484350498866178,1.9833560498866163,1.188435049886614,1.6039898531327594,1.3239694010476057,1.4132512843211273,1.5096351355823217,1.28065727210884,1.4942357522447836
