speaker,file,word,time,f1,f2,f3,f0
it04,it04-001,paga,1,800.7027064063147,1491.2008894606668,2534.6611322978824,171.89165024599782
it04,it04-001,paga,2,832.4684221012958,1502.4051824747053,2590.953151281055,172.09890471904933
it04,it04-001,paga,3,843.1989752349323,1493.4778992312608,2617.475527610581,174.64634697186503
it04,it04-001,paga,4,846.0215780549019,1474.3971057925498,2637.3676710749564,177.41633861293016
it04,it04-001,paga,5,879.6999478409839,1458.0203470065203,2612.3584361856538,179.27164141016536
it04,it04-001,paga,6,881.1374784181419,1501.5289056278607,2678.2722665386127,181.035765256579
it04,it04-001,paga,7,871.8493281914704,1586.3755920896838,2667.6911520740773,182.65878274476378
it04,it04-001,paga,8,764.8135375390442,1585.7765350350703,2604.497449254701,183.4464619958461
it04,it04-001,paga,9,608.0315231010017,1627.462468466996,2738.2874579676327,181.26169470788673
it04,it04-002,poto,1,455.1179487813061,841.538023486688,3049.9518404735663,153.32723264774128
it04,it04-002,poto,2,465.4243216664684,852.916763752262,3115.3824514049597,152.7842447886072
it04,it04-002,poto,3,468.2492630567404,838.3119562330501,3117.08278794258,153.68371662793092
it04,it04-002,poto,4,470.03343826350795,818.3596503165994,3179.4717334490406,154.9654234218581
it04,it04-002,poto,5,470.44864946904414,815.7338927515208,3218.7565186222887,158.13266599771782
it04,it04-002,poto,6,489.02226582796254,820.6144146509602,3169.6262664270744,160.2783498051926
it04,it04-002,poto,7,525.8791749863851,924.9405590996829,3292.7544495067573,164.54260890689574
it04,it04-002,poto,8,474.96050445044034,1107.9792104177639,3064.1065959737316,164.6568501088268
it04,it04-002,poto,9,427.51082233963655,983.0105216518203,2943.1486949357763,168.50053550226306
it04,it04-003,paca,1,770.6909568722535,1438.2461844484098,2504.018969776804,150.2645313342451
it04,it04-003,paca,2,796.7788008573806,1516.6688556238662,2499.0432957495595,148.48828726566686
it04,it04-003,paca,3,808.2960772404712,1523.5440969589731,2524.4113387391817,147.99464932788865
it04,it04-003,paca,4,806.5836662584319,1527.1322865432521,2537.4116369228086,149.07521068673873
it04,it04-003,paca,5,816.2211129937654,1484.0158360692508,2561.681374682853,150.06298879519053
it04,it04-003,paca,6,840.7857170064234,1426.5780704155777,2591.231066824906,153.20495099468442
it04,it04-003,paca,7,843.3197207582934,1442.065342925841,2517.3631866726814,154.27869006326787
it04,it04-003,paca,8,848.8006418651114,1474.726142558807,2462.2218413788073,154.97573037325077
it04,it04-003,paca,9,824.156552949505,1495.0680988030233,2510.2264817483683,154.88502742827487
it04,it04-004,pudu,1,372.1438735431986,710.14349454348,2620.969149520752,161.1915478313444
it04,it04-004,pudu,2,365.8384791490585,698.0534412039493,2410.1095804564466,161.00839418549995
it04,it04-004,pudu,3,340.5317870645307,678.9814876497749,2543.2600825805666,165.19711280937804
it04,it04-004,pudu,4,351.065980466759,631.5697186276446,2394.3920883666674,170.26489115188443
it04,it04-004,pudu,5,337.65681244322093,697.4808195189825,2486.6304838481196,177.94183120550366
it04,it04-004,pudu,6,351.83517342377985,721.8153140135207,2315.6614958511555,184.7229983126457
it04,it04-004,pudu,7,344.1289356357221,724.9107296448908,2461.809091082395,188.63753668643454
it04,it04-004,pudu,8,353.7985162263977,874.2222898761562,2642.255140556041,194.25051310577192
it04,it04-004,pudu,9,380.66002070444597,831.883590674486,2706.05279286759,198.41310061526588
it04,it04-005,pucu,1,337.75932322262247,646.2549700467031,2349.0506168343895,174.23713492453805
it04,it04-005,pucu,2,332.9058851152075,611.1783064299573,2534.751866401072,175.6741121926375
it04,it04-005,pucu,3,376.2114703307915,529.4387087852083,2495.2512472663234,179.91182637000347
it04,it04-005,pucu,4,366.272198852601,583.4917985982584,2597.5761006136695,183.6616831194273
it04,it04-005,pucu,5,357.32564139576175,609.3583651530182,2569.804181573252,187.85222270313716
it04,it04-005,pucu,6,355.57210698246695,579.6097916738587,2852.3432951674367,194.12237368710922
