speaker,file,word,time,f1,f2,f3,f0
pl02,pl02-001,pata,1,735.1486600879052,1639.6480979407727,3219.681332321655,261.08757011140585
pl02,pl02-001,pata,2,735.0032609588636,1538.3677516539144,3085.468562358734,257.4188734479167
pl02,pl02-001,pata,3,715.5242399248777,1532.7514582615815,3047.950033735887,255.77929128021694
pl02,pl02-001,pata,4,734.7945243746556,1562.9757931924096,3072.086875915927,254.50656108142587
pl02,pl02-001,pata,5,751.3297873326296,1554.3861242770959,3126.0386666708705,252.33164364758008
pl02,pl02-001,pata,6,747.7180848457178,1533.410762898954,3209.5296089021367,250.00774293003263
pl02,pl02-001,pata,7,727.4462847502832,1516.82894230535,3214.0049132419954,247.74879061124278
pl02,pl02-001,pata,8,705.6332645602066,1558.3654984335221,3198.7457808007343,245.20043496917577
pl02,pl02-001,pata,9,650.311752539147,1625.806005681141,3214.9709355245186,241.77003427008634
pl02,pl02-002,puku,1,464.24208661684884,1195.7617738060858,3093.1697376088705,259.7055484800544
pl02,pl02-002,puku,2,454.1009029169623,721.0449977048021,2760.60931007127,258.8418383033936
pl02,pl02-002,puku,3,444.96179890719975,725.271835811047,2829.3226025441413,258.14382081474696
pl02,pl02-002,puku,4,435.1945879415614,721.2783763444235,2834.446567548112,257.66201008154326
pl02,pl02-002,puku,5,427.0943837742053,714.731902889721,2808.253694209449,255.2554629895932
pl02,pl02-002,puku,6,415.9459116646951,708.8783837080235,2785.5049271078165,252.05743496349555
pl02,pl02-002,puku,7,402.9398887880517,701.2382348838648,2801.925581152163,247.00349709184314
pl02,pl02-002,puku,8,396.12081443540893,685.7167493515719,2828.1567848802733,241.48911675699756
pl02,pl02-002,puku,9,410.2941658834021,594.1480424619858,2818.2318650523057,235.37392070584946
pl02,pl02-003,pogo,1,489.62200892334636,997.2562167235899,2523.7170984270897,262.18273069085444
pl02,pl02-003,pogo,2,510.82373458451184,1018.0474525188132,2863.9326116336406,259.95869473280914
pl02,pl02-003,pogo,3,524.5005286127729,1017.8906013665331,2851.4805575929313,259.11391252662185
pl02,pl02-003,pogo,4,531.8892935663644,1014.9498719097612,2802.580410127088,258.0286177284704
pl02,pl02-003,pogo,5,536.4157517964442,998.1561598405656,2775.0774340164294,256.1513784870323
pl02,pl02-003,pogo,6,534.3853377214194,967.0614865139736,2742.888335124383,252.84091435656634
pl02,pl02-003,pogo,7,528.6595685811491,934.8903597747062,2708.070733347926,248.1222397600854
pl02,pl02-003,pogo,8,513.8339584982316,879.5001217925194,2658.9180369104415,243.31652133706595
pl02,pl02-003,pogo,9,481.17226925872853,866.9325194219259,2607.2897586616314,240.59319769321874
pl02,pl02-004,paka,1,773.8298002985453,1680.6595520857588,2827.709032526817,251.9573920754967
