index,speaker,file,rec_date,word,time,sentence_ons,sentence_off,word_ons,word_off,v1_ons,c2_ons,v2_ons,c1_rel,c2_rel
1,it02,it02-001,12/12/2016 14:42:09,pugu,1.389932,1.389932,3.024943,1.709932,2.099932,1.819932,1.9098669745180465,1.989932,1.7907587876869824,--undefined--
2,it02,it02-002,12/12/2016 14:42:18,butu,4.374966,0.46240364172335546,2.1273926417233557,0.8024036417233562,1.2424036417233557,0.9287242250980432,1.063379001317129,1.1524036417233559,0.9179481694283362,--undefined--
3,it02,it02-003,12/12/2016 14:42:26,baca,7.869977,0.5092513764172333,2.3341953764172345,0.849251376417234,1.4092513764172345,0.9592513764172335,1.1427488133207522,1.2792513764172337,0.9299310969508081,1.2485734330616935
4,it02,it02-004,12/12/2016 14:42:33,bogo,11.469977,0.5449883378684817,2.369932337868482,0.9149883378684809,1.4749883378684814,1.075810392973528,1.2679485989977213,1.3749883378684817,1.027119857142857,1.3493165213711755
5,it02,it02-005,12/12/2016 14:42:43,podo,15.049977,0.5142853900226765,2.354240390022678,0.954285390022676,1.4342853900226764,1.09699670168086,1.2585040632344082,1.3342853900226768,1.0515869773242628,--undefined--
6,it02,it02-006,12/12/2016 14:42:52,bada,18.939955,0.712290600907032,2.477233600907031,1.0422906009070303,1.5122906009070292,1.1622906009070313,1.3544346598765173,1.4422906009070324,1.125167708188691,--undefined--
7,it02,it02-007,12/12/2016 14:44:06,boco,23.834966,1.1258503537414981,2.770839353741497,1.3758503537414981,1.8958503537414977,1.5058503537414971,1.6607669858560605,1.7958503537414963,1.4756343119141313,1.761245848377662
8,it02,it02-008,12/12/2016 14:44:12,pata,26.484943,0.8733330226757374,2.5933330226757363,1.143333022675737,1.7033330226757357,1.2633330226757344,1.4233330226757346,1.5433330226757356,1.223957057671548,1.5372569297641725
9,it02,it02-009,12/12/2016 14:44:17,pogo,29.304989,0.8489345782312903,2.773922578231293,1.1989345782312917,1.8189345782312927,1.3359953517109027,1.543795773240614,1.638934578231293,1.3191323199866112,--undefined--
10,it02,it02-010,12/12/2016 14:44:22,paca,32.514966,1.0403174739229009,2.9152834739229014,1.3303174739229,2.040317473922901,1.4403174739228994,1.6129782648511686,1.7603174739228997,1.4336808200642857,1.7254191315076532
11,it02,it02-011,12/12/2016 14:44:28,pudu,35.649977,1.0754645283446678,3.0154645283446655,1.355464528344669,1.9333952448977598,1.5054645283446675,1.6682097605472066,1.7760649519235727,1.4682045711562068,1.7575243786667585
12,it02,it02-012,12/12/2016 14:44:34,baga,38.689977,0.9459407188208573,2.8759187188208557,1.2659407188208576,1.855940718820861,1.385940718820855,1.5859407188208579,1.6859407188208593,--undefined--,1.6797684622971119
13,it02,it02-013,12/12/2016 14:44:52,poto,41.849977,0.924806931972789,2.7797729319727864,1.2448069319727892,1.7948069319727864,1.38387000979548,1.5301614345685124,1.6648069319727838,1.3395354822174141,1.6552670910396117
14,it02,it02-014,12/12/2016 14:44:58,bucu,44.674966,0.8589115782312859,2.7488885782312877,1.138911578231287,1.6926808446371169,1.2789712831594287,1.4186130977155003,1.5659812281711751,--undefined--,1.5199145644383734
15,it02,it02-015,12/12/2016 14:45:04,putu,47.504989,0.8561001111111111,2.8660771111111103,1.2161001111111105,1.7807452233150656,1.3433530673867082,1.4861001111111065,1.606100111111111,1.31437628466648,1.5956877829771585
16,it02,it02-016,12/12/2016 14:45:09,bugu,50.639955,0.9144221201814062,2.7244441201814027,1.1744221201814042,1.7092737927893609,1.3136924409241004,1.4333854248293036,1.5314671755294071,1.2994030527067508,--undefined--
17,it02,it02-017,12/12/2016 14:45:14,pada,53.58,0.8707029478457997,2.620679947845801,1.170702947845804,1.6907029478458,1.2907029478458014,1.503213377682492,1.5807029478458006,1.25169266150467,--undefined--
18,it02,it02-018,12/12/2016 14:45:19,boto,56.110023,0.8000910272108825,2.8100230272108817,1.1200910272108828,1.7682779821149452,1.2600910272108834,1.4522961274313175,1.5900910272108817,--undefined--,1.585122284889387
19,it02,it02-019,12/12/2016 14:45:25,poco,58.984989,0.8886624693877536,2.938639469387752,1.2586624693877582,1.8770322405438336,1.4061432604722555,1.5690587107876794,1.7350172858237656,1.3572792494331125,1.6889546831430593
20,it02,it02-020,12/12/2016 14:45:30,bodo,62.259955,0.9360547732426312,2.851065773242631,1.1993791353875736,1.74794591775715,1.3191170625037785,1.5391006960428442,1.6268156891628536,1.313087067376081,--undefined--
21,it02,it02-021,12/12/2016 14:45:36,pucu,64.850023,0.6816783287981849,2.601632328798189,1.0016783287981923,1.5848726946864105,1.151678328798198,1.2717660973716818,1.4116783287981889,1.1122414798234104,1.3777142270381688
22,it02,it02-022,12/12/2016 14:45:42,budu,67.589932,0.7396825668934355,2.6946935668934344,1.0596825668934287,1.6616507221308154,1.1944336468102392,1.3673234368316542,1.4570931354966348,1.184174519355409,1.4480543207886
23,it02,it02-023,12/12/2016 14:46:24,bata,70.924943,1.1489792811791375,2.9239912811791413,1.3989792811791375,1.9548457563930413,1.4989792811791318,1.6589792811791426,1.8072817962985255,--undefined--,1.7905360476033678
24,it02,it02-024,12/12/2016 14:46:32,paga,73.674966,0.7643084036281209,2.7092974036281277,1.0843084036281283,1.6743084036281175,1.1943084036281277,1.4043084036281215,1.50430840362813,1.165568630612853,--undefined--
25,it02,it02-049,12/12/2016 14:50:53,pugu,76.889977,0.6124259795918476,2.562403979591849,0.962425979591842,1.5018735904495912,1.0924259795918516,1.2429056507663034,1.3501128085921863,1.051969283256625,1.328094310856855
