speaker,file,rec_date,word,voicing_start,voicing_end,voicing_duration,voiced_points
it12,it12-001,07/02/2018 13:21:29,paca,1.360561546637127,1.7578962233819364,397.33467674480937,5
it12,it12-002,07/02/2018 13:21:33,pogo,0.9623665936600987,1.3830026034871288,420.6360098270301,5
it12,it12-003,07/02/2018 13:21:37,pucu,1.1101864788549032,1.2607721769474947,150.58569809259149,5
it12,it12-004,07/02/2018 13:21:41,poto,0.9210817805908961,1.057227098565003,136.1453179741069,2
it12,it12-005,07/02/2018 13:21:45,putu,1.1707644126535246,1.317353453384873,146.58904073134838,4
it12,it12-006,07/02/2018 13:21:49,paga,1.202519115052559,1.6527355195494955,450.21640449693655,5
it12,it12-007,07/02/2018 13:21:54,poco,1.0499944862600934,1.494007522182283,444.01303592218966,5
it12,it12-008,07/02/2018 13:21:58,pada,1.0127386165565242,1.4608375004286667,448.0988838721425,5
it12,it12-009,07/02/2018 13:22:02,pudu,0.6773125506670598,1.4925970849690269,815.2845343019671,5
it12,it12-010,07/02/2018 13:22:06,pata,1.0107482630320863,1.1225489807130236,111.80071768093724,2
it12,it12-011,07/02/2018 13:22:10,pugu,0.9331735123330535,1.432986497534994,499.81298520194053,5
it12,it12-012,07/02/2018 13:22:15,podo,0.9307858933339936,1.4443016009489822,513.5157076149885,5
it12,it12-013,07/02/2018 13:22:59,paca,1.3998050858499373,1.533708632362524,133.90354651258662,5
it12,it12-014,07/02/2018 13:23:03,pogo,1.112812003420522,1.5432445951920455,430.4325917715235,5
it12,it12-015,07/02/2018 13:23:08,pucu,1.083386283214831,1.5030650616197947,419.67877840496357,5
it12,it12-016,07/02/2018 13:23:29,poto,1.3291277125063197,1.4647805410331003,135.6528285267806,4
it12,it12-017,07/02/2018 13:23:33,putu,1.2449902392608228,1.6612801771405135,416.2899378796907,5
it12,it12-018,07/02/2018 13:23:37,paga,1.158210666631498,1.5785967510249612,420.38608439346325,5
it12,it12-019,07/02/2018 13:23:41,poco,0.948786774067268,1.3166641252546993,367.8773511874314,5
it12,it12-020,07/02/2018 13:23:45,pada,1.0709997168719123,1.5021211318735166,431.1214150016043,5
it12,it12-021,07/02/2018 13:23:49,pudu,0.9737769508964463,1.4172841237308405,443.5071728343941,5
it12,it12-022,07/02/2018 13:23:53,pata,1.1165469874883711,1.2324842414135377,115.93725392516663,2
it12,it12-023,07/02/2018 13:23:57,pugu,1.1419949637197344,1.5870186429858786,445.02367926614414,5
it12,it12-024,07/02/2018 13:24:01,podo,1.1085739536267505,1.5323364146383491,423.76246101159865,5
it12,it12-025,07/02/2018 13:24:14,paca,1.4474374126640521,1.5659775781609864,118.54016549693425,4
it12,it12-026,07/02/2018 13:24:18,pogo,1.1093344618153664,1.5048643209129593,395.52985909759286,5
it12,it12-027,07/02/2018 13:24:22,pucu,1.0916387554546283,1.504138000041402,412.49924458677367,5
it12,it12-028,07/02/2018 13:24:27,poto,1.3537587161045603,1.4938470103272183,140.088294222658,5
it12,it12-029,07/02/2018 13:24:32,putu,1.2625351975882495,1.6425242047411377,379.9890071528882,5
it12,it12-030,07/02/2018 13:24:36,paga,1.1823240754200708,1.6295667352426255,447.24265982255474,5
it12,it12-031,07/02/2018 13:24:41,poco,1.0092940957649348,1.5160569377836506,506.7628420187158,5
it12,it12-032,07/02/2018 13:24:45,pada,1.0308420107921468,1.4250599244029347,394.21791361078795,5
it12,it12-033,07/02/2018 13:24:49,pudu,0.6343361776828311,1.4066807629338742,772.3445852510431,5
