speaker,file,rec_date,word,voicing_start,voicing_end,voicing_duration,voiced_points
pl03,pl03-001,24/03/2017 14:44:27,paka,1.5027031996364628,1.6111304437078946,108.42724407143179,0
pl03,pl03-002,24/03/2017 14:44:32,poko,1.17669613936527,1.2643989069122339,87.70276754696394,2
pl03,pl03-003,24/03/2017 14:44:36,pugu,1.0666783928610728,1.3101158778740747,243.4374850130019,5
pl03,pl03-004,24/03/2017 14:44:40,podo,1.2409102647681005,1.5235197378289125,282.609473060812,5
pl03,pl03-005,24/03/2017 14:44:44,putu,1.145045097585146,1.2406776434981337,95.63254591298764,0
pl03,pl03-006,24/03/2017 14:44:48,poto,1.2395733817071122,1.3365484738591182,96.97509215200606,1
pl03,pl03-007,24/03/2017 14:44:52,pada,1.3780163400215393,1.6742213497872955,296.20500976575624,5
pl03,pl03-008,24/03/2017 14:44:56,puku,1.2115083415420305,1.3089363587039875,97.42801716195703,3
pl03,pl03-009,24/03/2017 14:45:04,paga,0.646054112831326,0.923427174445316,277.37306161399,5
pl03,pl03-010,24/03/2017 14:45:08,pata,1.2488546977304011,1.3551843812863305,106.32968355592931,2
pl03,pl03-011,24/03/2017 14:45:12,pudu,1.0550443040748612,1.267422306648574,212.37800257371276,5
pl03,pl03-012,24/03/2017 14:45:16,pogo,0.7780866114897816,1.0461972064243579,268.1105949345762,5
pl03,pl03-013,24/03/2017 14:46:18,paka,1.4604946821408398,1.570834965118825,110.34028297798515,2
pl03,pl03-014,24/03/2017 14:46:22,poko,1.083571167668442,1.173203232300708,89.63206463226592,1
pl03,pl03-015,24/03/2017 14:46:26,pugu,1.0993868713150936,1.3129271703180818,213.5402990029882,5
pl03,pl03-016,24/03/2017 14:46:30,podo,1.2096976736819476,1.4467560987219907,237.05842504004315,5
pl03,pl03-017,24/03/2017 14:46:34,putu,1.1605402646008516,1.2561591315225815,95.61886692172993,2
pl03,pl03-018,24/03/2017 14:46:38,poto,1.050177451147592,1.1273657369347272,77.1882857871351,0
pl03,pl03-019,24/03/2017 14:46:42,pada,1.073382214140872,1.3031027471076932,229.72053296682128,5
pl03,pl03-020,24/03/2017 14:46:46,puku,0.9712088647189614,1.0505195478555276,79.3106831365662,4
pl03,pl03-021,24/03/2017 14:46:50,paga,1.235303600910859,1.4864691905937655,251.16558968290659,5
pl03,pl03-022,24/03/2017 14:46:54,pata,1.2520875475208817,1.3455816111311372,93.49406361025547,0
pl03,pl03-023,24/03/2017 14:46:58,pudu,1.1212338850241383,1.2344834985524755,113.24961352833718,5
pl03,pl03-024,24/03/2017 14:47:02,pogo,1.0983088783925299,1.2262677490349936,127.9588706424637,5
