speaker,file,rec_date,word,voicing_start,voicing_end,voicing_duration,voiced_points
pl04,pl04-001,26/05/2017 17:55:20,poto,1.6298035091570935,1.7367088205685928,106.90531141149928,2
pl04,pl04-002,26/05/2017 17:55:24,pugu,1.6019827784327416,1.877320627370375,275.33784893763345,5
pl04,pl04-003,26/05/2017 17:55:28,poko,1.328628259939575,1.426082441346702,97.45418140712702,2
pl04,pl04-004,26/05/2017 17:55:32,putu,1.2524902210881077,1.3142442719074987,61.754050819391004,1
pl04,pl04-005,26/05/2017 17:55:36,podo,1.3133784695797952,1.5515770006193217,238.19853103952647,5
pl04,pl04-006,26/05/2017 17:55:39,pata,1.4108701989598502,1.4896104107814638,78.74021182161361,0
pl04,pl04-007,26/05/2017 17:55:43,pogo,1.3793468363060657,1.5994158265162628,220.06899021019711,5
pl04,pl04-008,26/05/2017 17:55:46,puku,1.3175691282966349,1.3749429938315172,57.37386553488233,1
pl04,pl04-009,26/05/2017 17:55:49,pada,1.3279362285523677,1.5861268718210948,258.1906432687271,5
pl04,pl04-010,26/05/2017 17:55:53,paka,1.0475233135174118,1.138457935258234,90.93462174082222,0
pl04,pl04-011,26/05/2017 17:55:57,pudu,1.2136543623419283,1.3157153794002168,102.06101705828851,5
pl04,pl04-012,26/05/2017 17:56:00,paga,1.295847501825068,1.4469757899483702,151.12828812330227,5
pl04,pl04-013,26/05/2017 17:56:14,poto,1.4322502821779561,1.5100738172058168,77.82353502786066,0
pl04,pl04-014,26/05/2017 17:56:18,pugu,1.4742777680357304,1.6831666405132528,208.88887247752243,5
pl04,pl04-015,26/05/2017 17:56:21,poko,1.0810555251833946,1.1498834110435738,68.82788586017918,0
pl04,pl04-016,26/05/2017 17:56:25,putu,1.2205443668379874,1.2834805190481042,62.93615221011684,1
pl04,pl04-017,26/05/2017 17:56:29,podo,1.1723331574847897,1.4015920756995979,229.25891821480815,5
pl04,pl04-018,26/05/2017 17:56:32,pata,1.1940010190443913,1.2837904920248506,89.78947298045937,1
pl04,pl04-019,26/05/2017 17:56:36,pogo,1.192977191946886,1.3193563516401776,126.37915969329173,5
pl04,pl04-020,26/05/2017 17:56:40,puku,1.301304058446103,1.3413894521731704,40.08539372706732,0
pl04,pl04-021,26/05/2017 17:56:44,pada,1.221773894682096,1.454958127120174,233.18423243807794,5
pl04,pl04-022,26/05/2017 17:56:47,paka,1.2639240426606373,1.364981043046008,101.0570003853708,0
pl04,pl04-023,26/05/2017 17:56:51,pudu,1.4217938514872555,1.493568660634052,71.77480914679646,2
pl04,pl04-024,26/05/2017 17:56:55,paga,1.2669415995476723,1.5100289708858972,243.0873713382249,5
pl04,pl04-025,26/05/2017 17:57:06,poto,1.2447900663039175,1.3193383582463918,74.54829194247425,0
pl04,pl04-026,26/05/2017 17:57:09,pugu,1.0908157170792423,1.2885022375578978,197.68652047865552,5
pl04,pl04-027,26/05/2017 17:57:13,poko,1.1961249498206203,1.291390859789288,95.26590996866769,2
pl04,pl04-028,26/05/2017 17:57:17,putu,1.1336934143149564,1.211266119616864,77.57270530190752,2
pl04,pl04-029,26/05/2017 17:57:20,podo,1.1073702439617623,1.3240674209965373,216.69717703477497,5
pl04,pl04-030,26/05/2017 17:57:23,pata,1.1942576313929383,1.2766085918406962,82.35096044775791,0
pl04,pl04-031,26/05/2017 17:57:26,pogo,1.2015663557914293,1.4031336706392048,201.56731484777546,5
pl04,pl04-032,26/05/2017 17:57:30,puku,1.1161597923032984,1.1899307393322598,73.77094702896136,2
pl04,pl04-033,26/05/2017 17:57:33,pada,1.1652209252043,1.3031169039008008,137.89597869650083,5
pl04,pl04-034,26/05/2017 17:57:37,paka,1.1677033039315299,1.2523420491971111,84.63874526558124,0
pl04,pl04-035,26/05/2017 17:57:40,pudu,1.2003293893421534,1.318664132789697,118.33474344754369,5
pl04,pl04-036,26/05/2017 17:57:44,paga,1.4200627254730163,1.545607246317086,125.54452084406975,5
pl04,pl04-037,26/05/2017 17:57:57,poto,1.459286182349057,1.5336508261526596,74.36464380360252,0
pl04,pl04-038,26/05/2017 17:58:00,pugu,1.1752661622150167,1.3058772296338519,130.6110674188352,5
pl04,pl04-039,26/05/2017 17:58:04,poko,1.1666612998080768,1.2432563346002743,76.59503479219754,2
pl04,pl04-040,26/05/2017 17:58:07,putu,1.2553732492515457,1.3618825498534317,106.50930060188601,0
pl04,pl04-041,26/05/2017 17:58:11,podo,1.2576085657161613,1.4636241713029259,206.01560558676456,5
pl04,pl04-042,26/05/2017 17:58:14,pata,1.0908140652500746,1.176047075075189,85.2330098251144,0
pl04,pl04-043,26/05/2017 17:58:18,pogo,1.2210279692815238,1.36388039343404,142.8524241525162,5
pl04,pl04-044,26/05/2017 17:58:21,puku,1.1917671406350447,1.2531446068776717,61.377466242626966,1
pl04,pl04-045,26/05/2017 17:58:25,pada,1.1127830940423493,1.2367346817115763,123.95158766922698,5
pl04,pl04-046,26/05/2017 17:58:28,paka,1.0622661399963647,1.1445871746775724,82.32103468120778,0
pl04,pl04-047,26/05/2017 17:58:32,pudu,1.2036466134724966,1.3983244244413113,194.67781096881475,5
pl04,pl04-048,26/05/2017 17:58:35,paga,1.0887935258757324,1.2115702450883659,122.77671921263345,4
pl04,pl04-049,26/05/2017 17:58:47,poto,1.5134619674776404,1.5952424253434556,81.78045786581522,0
pl04,pl04-050,26/05/2017 17:58:50,pugu,1.2905856736367365,1.5100107787157722,219.4251050790357,5
pl04,pl04-051,26/05/2017 17:58:53,poko,1.1858981418654229,1.256755812243145,70.85767037772217,1
