EPG Contact [1,0]	EPG Contact [2,0]	EPG Contact [3,0]	EPG Contact [4,0]	EPG Contact [5,0]	EPG Contact [6,0]	EPG Contact [0,1]	EPG Contact [1,1]	EPG Contact [2,1]	EPG Contact [3,1]	EPG Contact [4,1]	EPG Contact [5,1]	EPG Contact [6,1]	EPG Contact [7,1]	EPG Contact [0,2]	EPG Contact [1,2]	EPG Contact [2,2]	EPG Contact [3,2]	EPG Contact [4,2]	EPG Contact [5,2]	EPG Contact [6,2]	EPG Contact [7,2]	EPG Contact [0,3]	EPG Contact [1,3]	EPG Contact [2,3]	EPG Contact [3,3]	EPG Contact [4,3]	EPG Contact [5,3]	EPG Contact [6,3]	EPG Contact [7,3]	EPG Contact [0,4]	EPG Contact [1,4]	EPG Contact [2,4]	EPG Contact [3,4]	EPG Contact [4,4]	EPG Contact [5,4]	EPG Contact [6,4]	EPG Contact [7,4]	EPG Contact [0,5]	EPG Contact [1,5]	EPG Contact [2,5]	EPG Contact [3,5]	EPG Contact [4,5]	EPG Contact [5,5]	EPG Contact [6,5]	EPG Contact [7,5]	EPG Contact [0,6]	EPG Contact [1,6]	EPG Contact [2,6]	EPG Contact [3,6]	EPG Contact [4,6]	EPG Contact [5,6]	EPG Contact [6,6]	EPG Contact [7,6]	EPG Contact [0,7]	EPG Contact [1,7]	EPG Contact [2,7]	EPG Contact [3,7]	EPG Contact [4,7]	EPG Contact [5,7]	EPG Contact [6,7]	EPG Contact [7,7]	Date Time of recording	Time of sample in recording	Time of sample in annot	Prompt	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue	X0 DLC_HyoidMandible	Y0 DLC_HyoidMandible	X1 DLC_HyoidMandible	Y1 DLC_HyoidMandible	X0 DLC_ShorttendonMandible	Y0 DLC_ShorttendonMandible	X1 DLC_ShorttendonMandible	Y1 DLC_ShorttendonMandible
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.4037	0.2487	Dico paca lentamente	-7.8526	10.2748	-8.2772	21.0150	-3.5325	32.3551	6.4770	42.0828	14.7847	48.0688	27.3817	50.7070	37.7582	47.9390	41.8711	44.1075	46.1698	40.4796	50.6830	37.7293	55.3330	34.4163	83.0200	23.8475	121.1696	27.1559	119.6759	36.3331	121.1696	27.1559
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.4271	0.2721	Dico paca lentamente	-4.9750	7.6587	-7.0751	17.7465	-4.0739	29.3218	3.6965	40.1231	10.8304	48.7016	22.1191	53.9145	33.1829	50.8890	37.2088	47.0952	41.6164	43.8992	46.5761	41.3263	51.1937	38.6903	82.1130	26.9559	120.9683	27.3102	119.4585	36.4987	120.9683	27.3102
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.4505	0.2955	Dico paca lentamente	-8.8931	7.7495	-10.2291	15.8066	-8.5440	26.7333	-3.8890	36.5706	-0.6067	48.1286	7.0726	57.0934	17.5609	59.0690	23.7605	59.3290	29.6343	58.3754	34.5492	57.5489	38.8982	56.3398	83.7806	28.1366	121.7247	26.2077	119.1797	35.3140	121.7247	26.2077
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.4739	0.3190	Dico paca lentamente	-14.9841	2.1405	-16.6568	7.6417	-14.7934	16.6326	-11.0096	23.9340	-6.4390	34.6762	-3.1056	37.3644	4.0773	50.9875	8.4743	52.2168	12.2815	51.9303	19.7160	53.5889	22.1717	54.7928	90.0221	30.9360	120.3992	26.1868	118.3616	34.3327	120.3992	26.1868
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.4973	0.3423	Dico paca lentamente	-2.1425	8.9380	-2.1629	14.3929	-1.3531	18.1650	-1.7885	21.1790	-4.4102	28.2540	-9.5195	29.2403	-11.7655	22.8345	-14.3759	21.6950	-14.8192	18.6687	-15.4574	17.0869	29.2424	35.4391	90.4023	30.3679	121.4296	27.8687	117.8373	36.5011	121.4296	27.8687
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.5207	0.3658	Dico paca lentamente	-9.5538	3.3099	-10.3014	6.2784	-11.5419	14.0978	-7.7342	21.8563	-3.5704	28.1265	-0.8450	33.1895	5.4528	33.4852	18.1507	53.8165	22.7615	54.2262	25.1074	55.7069	26.5839	56.1889	89.5375	32.0766	120.0092	28.1381	116.9911	37.2246	120.0092	28.1381
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.5441	0.3892	Dico paca lentamente	-14.2613	5.3963	-15.5146	15.6259	-13.4596	23.2859	-9.2756	34.2707	-5.9044	46.1150	1.5578	54.8562	9.9070	59.7599	16.1228	60.2168	22.0702	59.8315	27.1835	59.9499	31.3289	59.7288	90.1554	30.2778	120.8691	27.0510	119.0059	36.4571	120.8691	27.0510
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.5675	0.4126	Dico paca lentamente	-8.6717	7.2120	-10.4773	15.8657	-8.9104	26.6945	-3.2536	37.5756	1.3787	48.1792	9.8536	55.6262	23.3417	57.9987	29.6815	56.5439	35.0957	54.4895	40.7946	51.8129	45.6298	49.1922	84.2483	28.9868	121.4470	26.5260	120.6736	34.8952	121.4470	26.5260
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.5909	0.4360	Dico paca lentamente	-6.6706	7.8954	-7.7513	19.7730	-4.1128	30.9243	0.1706	40.9310	7.2653	51.1018	18.6203	57.0767	30.8875	55.7864	35.8586	52.8615	41.9585	50.6206	48.6077	49.2050	53.0002	47.3712	83.0347	27.4715	121.3072	27.0560	119.4451	35.8537	121.3072	27.0560
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.6144	0.4594	Dico paca lentamente	-7.6059	8.6074	-6.9574	20.4107	-2.5657	30.5482	3.5088	39.8660	11.6785	50.4800	21.5387	56.3117	34.9031	55.9015	40.1342	54.1243	45.6416	51.5444	50.7687	49.7449	55.3603	47.3194	82.9492	27.0125	122.0539	27.9780	119.6082	36.9398	122.0539	27.9780
