Client family name	Date Time of recording	Time of sample in recording	Time of sample in annot	Prompt	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue	X0 DLC_HyoidMandible	Y0 DLC_HyoidMandible	X1 DLC_HyoidMandible	Y1 DLC_HyoidMandible	X0 DLC_ShorttendonMandible	Y0 DLC_ShorttendonMandible	X1 DLC_ShorttendonMandible	Y1 DLC_ShorttendonMandible
it14	16/04/2018 10:47:09	1.4457	0.0136	Dico paga lentamente	-3.4437	10.2965	-0.1883	22.5929	3.0180	34.8422	9.4763	45.5334	17.8425	53.4303	30.0770	55.9706	40.5849	49.8698	44.3845	46.2035	47.2486	42.4683	49.6731	38.4333	52.5922	32.2924	63.9323	25.2426	102.7226	20.2335	103.0709	29.1550	102.7226	20.2335
it14	16/04/2018 10:47:09	1.4623	0.0302	Dico paga lentamente	-4.1416	11.3911	-1.8807	23.9897	1.5674	36.2371	8.4509	47.2680	17.6912	54.5939	30.0859	55.9072	39.9284	49.2579	43.5402	44.8918	47.1416	41.3759	49.2534	37.9022	52.8221	32.3178	63.9426	24.8736	103.0381	19.9062	103.4195	28.9129	103.0381	19.9062
it14	16/04/2018 10:47:09	1.4790	0.0469	Dico paga lentamente	-5.5678	9.6668	-4.5198	22.8847	-1.8091	35.2744	4.5973	46.3110	13.1224	54.1902	24.9430	55.6976	35.2795	50.6034	39.5211	46.2074	42.0095	41.8682	44.4766	36.6565	46.3177	30.9353	64.4743	25.6263	103.0377	19.4089	103.2959	28.2122	103.0377	19.4089
it14	16/04/2018 10:47:09	1.4956	0.0635	Dico paga lentamente	-6.9554	8.1600	-5.7393	21.0534	-3.4699	33.6433	1.8322	44.9515	10.5230	53.7079	22.7621	54.7588	33.1811	48.4371	37.1041	43.9935	39.4788	39.8227	42.4859	33.5518	45.0619	27.3467	64.1732	26.8245	102.0897	19.5510	102.6760	27.9891	102.0897	19.5510
it14	16/04/2018 10:47:09	1.5122	0.0801	Dico paga lentamente	-6.8037	9.2714	-5.7643	21.9112	-4.1689	34.4931	0.2609	45.8292	9.0083	52.9925	20.3235	53.3785	30.7682	47.9651	34.8522	43.9736	38.8329	40.1635	41.3775	34.4805	42.8619	27.8748	63.6182	27.0189	102.8890	19.4249	103.3129	28.5282	102.8890	19.4249
it14	16/04/2018 10:47:09	1.5289	0.0968	Dico paga lentamente	-7.5180	7.0764	-9.4334	20.4650	-7.3890	32.7148	-3.0473	43.7758	6.0202	51.5744	17.6550	52.7751	27.8534	46.5323	31.8610	42.9592	36.3215	37.6181	38.6979	32.4010	41.5074	26.3270	63.5681	27.3018	102.5397	18.6979	102.8234	28.0234	102.5397	18.6979
it14	16/04/2018 10:47:09	1.5455	0.1134	Dico paga lentamente	-8.4035	5.1795	-10.6612	17.3714	-8.9465	29.6737	-3.7328	40.8526	5.7853	49.1470	14.1705	51.5022	24.8061	46.7484	29.4929	43.0271	35.7805	38.0681	39.8062	34.3178	43.2738	28.5168	62.8106	28.1106	102.5117	18.9360	102.5354	27.8623	102.5117	18.9360
it14	16/04/2018 10:47:09	1.5621	0.1300	Dico paga lentamente	-8.0154	6.3708	-10.3224	18.7834	-8.7316	30.7611	-3.4486	42.6728	5.5394	49.2874	16.2040	51.0583	26.0303	44.7130	31.2063	40.5180	35.5644	37.0351	38.7021	32.7857	42.0921	27.5741	62.1408	27.4124	102.8283	18.1797	103.1315	27.4887	102.8283	18.1797
it14	16/04/2018 10:47:09	1.5788	0.1467	Dico paga lentamente	-8.1332	6.1721	-10.2225	19.1244	-8.2630	31.7657	-2.4682	42.7765	6.7870	49.4163	18.0123	49.2964	26.7873	42.3934	31.7793	38.7238	36.3532	35.5697	39.8143	31.5836	42.1625	27.4606	61.1617	27.3950	102.7671	18.6440	103.0547	27.7253	102.7671	18.6440
it14	16/04/2018 10:47:09	1.5954	0.1633	Dico paga lentamente	-8.3193	5.6006	-10.9620	19.3166	-9.2909	31.6788	-4.1006	42.8123	5.3487	49.2901	17.0080	49.0556	25.6808	42.4048	30.5991	38.6476	35.3324	36.5799	39.5424	32.7850	42.0519	28.2569	61.1189	27.5597	102.4848	17.7385	102.9832	27.5264	102.4848	17.7385
