Client family name	Date Time of recording	Time of sample in recording	Time of sample in annot	Prompt	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue	X0 DLC_HyoidMandible	Y0 DLC_HyoidMandible	X1 DLC_HyoidMandible	Y1 DLC_HyoidMandible	X0 DLC_ShorttendonMandible	Y0 DLC_ShorttendonMandible	X1 DLC_ShorttendonMandible	Y1 DLC_ShorttendonMandible
it07	28/07/2017 15:38:24	0.6960	0.0160	Dico pata lentamente	-1.6428	12.5119	-3.0274	26.5352	-3.9368	43.0650	3.0432	58.9974	15.0620	67.2649	28.4956	71.6142	43.4429	68.3965	42.8611	55.0970	46.3143	48.5199	49.3824	43.2566	52.6205	37.1397	79.7179	22.6765	126.3431	23.4858	124.2748	34.3972	126.3431	23.4858
it07	28/07/2017 15:38:24	0.7156	0.0356	Dico pata lentamente	-5.2677	13.7570	-8.2056	28.1166	-9.6190	44.3576	-1.3107	58.0478	7.5616	65.5027	19.5257	68.4135	31.7616	57.6345	36.5590	54.2811	39.5267	51.6959	41.7245	45.5541	46.2028	38.7237	80.8393	22.6073	127.1909	22.9341	124.2913	34.2219	127.1909	22.9341
it07	28/07/2017 15:38:24	0.7352	0.0552	Dico pata lentamente	-7.2432	14.6688	-12.6720	28.5794	-15.6909	45.6164	-9.1194	59.6874	4.0168	65.9786	17.3606	69.0705	28.9834	64.7624	35.5573	57.0910	39.3043	54.1359	41.2681	48.1046	46.4363	42.1835	81.2364	23.3603	127.4974	22.3492	124.2553	33.8609	127.4974	22.3492
it07	28/07/2017 15:38:24	0.7548	0.0748	Dico pata lentamente	-8.9455	16.0156	-11.1209	31.7502	-12.4527	48.4169	-4.6983	61.2726	6.3522	68.8201	18.1702	69.6763	30.8995	64.2243	35.0757	54.7433	38.1435	52.2350	40.9692	48.0940	44.1077	41.4982	80.6490	22.6032	127.2056	22.5402	124.4230	34.5413	127.2056	22.5402
it07	28/07/2017 15:38:24	0.7744	0.0945	Dico pata lentamente	-9.3612	12.8100	-11.1563	27.2566	-12.8442	42.4693	-7.4607	56.7565	1.4903	65.3918	15.2355	69.4110	26.4959	63.6809	30.4359	58.1688	34.4078	54.3455	38.4006	50.7912	39.6877	43.5950	80.0544	23.4641	125.5816	21.0438	123.4530	33.8767	125.5816	21.0438
it07	28/07/2017 15:38:24	0.7940	0.1140	Dico pata lentamente	-8.3574	10.8245	-8.9546	25.3852	-8.7318	40.6026	-3.1737	54.1254	4.2588	62.9158	16.7061	65.3367	24.8683	55.2256	28.6485	48.9965	32.3328	44.9609	38.0325	42.6057	42.3341	37.5784	79.9722	22.7033	126.5583	22.6191	122.5599	33.6831	126.5583	22.6191
it07	28/07/2017 15:38:24	0.8136	0.1336	Dico pata lentamente	-7.5786	11.0541	-9.2582	24.8672	-9.0830	39.3181	-3.6498	51.7074	4.8080	58.0062	17.5975	57.6623	26.4308	49.8828	29.4479	44.9055	35.0116	42.3265	41.9259	40.5929	46.5454	35.4876	79.1965	23.7872	125.4144	23.5382	122.7980	34.4466	125.4144	23.5382
it07	28/07/2017 15:38:24	0.8332	0.1532	Dico pata lentamente	-7.6958	11.1340	-9.5028	25.5575	-8.5840	39.8458	-2.2660	51.8152	5.9698	58.6477	18.8993	57.7127	25.6396	50.3410	29.7473	44.5562	34.1898	42.0572	39.3078	39.6246	42.5403	35.3387	78.9420	23.9385	125.1178	23.4367	121.6762	34.2806	125.1178	23.4367
it07	28/07/2017 15:38:24	0.8528	0.1728	Dico pata lentamente	-8.5448	10.8178	-10.7897	25.9920	-9.7645	40.4448	-3.2615	51.9706	6.9054	56.6571	17.9874	54.5838	25.6239	46.0814	29.0686	42.4079	35.2140	40.4713	40.5788	37.5222	44.5177	33.5535	79.2995	23.3740	124.5204	23.1009	121.8171	33.5457	124.5204	23.1009
it07	28/07/2017 15:38:24	0.8724	0.1924	Dico pata lentamente	-9.7300	10.5698	-11.7198	24.9317	-11.1036	39.9045	-4.1811	50.8101	7.2263	54.3463	18.3185	51.5227	26.8471	43.3122	31.2203	40.6902	37.3273	39.5101	43.5924	37.2210	48.3078	34.1709	79.3784	23.5824	123.9347	22.7974	121.6460	33.5110	123.9347	22.7974
