Client family name	Date Time of recording	Time of sample in recording	Time of sample in annot	Prompt	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue	X0 DLC_HyoidMandible	Y0 DLC_HyoidMandible	X1 DLC_HyoidMandible	Y1 DLC_HyoidMandible	X0 DLC_ShorttendonMandible	Y0 DLC_ShorttendonMandible	X1 DLC_ShorttendonMandible	Y1 DLC_ShorttendonMandible
it09	05/02/2018 12:08:15	1.1944	0.0104	Dico poto lentamente	-0.2068	8.0954	4.0992	16.6744	8.5866	24.1280	13.4240	35.3586	22.0743	41.8403	32.4562	46.6215	42.0832	45.3174	46.3034	43.1144	50.2287	42.7840	53.4514	41.5209	56.0900	40.5203	62.6882	28.3199	100.3161	24.1462	99.4071	33.0759	100.3161	24.1462
it09	05/02/2018 12:08:15	1.2110	0.0270	Dico poto lentamente	-0.3439	8.9062	2.7118	18.5614	5.6705	28.7147	11.7060	39.0462	18.5177	46.4669	28.6291	49.1605	38.5901	47.3263	41.8259	45.8350	46.4459	43.6487	49.9014	42.1973	53.6186	39.7023	62.5110	28.3846	102.2944	23.1372	102.7131	30.6592	102.2944	23.1372
it09	05/02/2018 12:08:15	1.2275	0.0436	Dico poto lentamente	1.4698	8.8955	6.3305	17.6376	8.6908	28.6476	13.1949	39.7621	20.6056	46.0031	29.9289	48.9053	39.2046	47.0795	43.6441	45.3151	47.5820	44.0980	51.4410	42.4000	54.4366	40.5686	62.6279	28.7426	102.3920	22.6891	106.1360	35.2063	102.3920	22.6891
it09	05/02/2018 12:08:15	1.2441	0.0602	Dico poto lentamente	1.6829	9.4238	2.5925	19.2593	4.0334	29.9312	10.1310	40.4262	18.4717	48.0271	29.2247	50.1502	39.2553	45.6354	43.1787	43.7786	47.1100	42.4380	50.7701	39.4750	54.1111	34.4287	61.9707	28.2279	100.8963	20.7975	102.0732	27.7221	100.8963	20.7975
it09	05/02/2018 12:08:15	1.2607	0.0768	Dico poto lentamente	2.1097	11.9343	2.2306	21.4904	4.1423	33.4656	9.3376	43.9250	18.9510	49.0070	30.2378	49.1056	39.2403	42.6907	42.9600	38.8187	45.2903	36.1785	48.4938	33.3687	46.3745	24.7085	61.4129	27.5631	99.1352	20.0505	100.0575	26.9651	99.1352	20.0505
it09	05/02/2018 12:08:15	1.2773	0.0933	Dico poto lentamente	0.8747	11.2451	0.8101	21.3356	3.6269	31.7230	10.1827	41.0444	18.2908	46.2376	28.2274	46.7318	38.2054	41.0994	41.3024	38.7664	43.2575	37.0215	46.3296	34.0794	47.7990	29.5486	60.5004	27.8946	100.8281	22.4841	100.6226	30.3549	100.8281	22.4841
it09	05/02/2018 12:08:15	1.2939	0.1099	Dico poto lentamente	-1.3408	10.9693	-3.0479	21.4987	1.0252	31.5432	8.0812	42.1631	17.5030	46.5135	27.9296	46.1391	37.2153	39.4801	40.3380	36.5362	42.6386	33.7587	46.1222	31.4646	50.0611	26.8945	59.6625	27.9363	103.0646	20.1865	101.3548	28.5218	103.0646	20.1865
it09	05/02/2018 12:08:15	1.3105	0.1265	Dico poto lentamente	-0.8397	10.1824	-3.3326	21.3616	0.5488	31.7296	6.8477	40.7257	15.7040	46.0989	25.5398	45.7349	33.9317	39.4077	38.8093	36.0168	42.3324	34.0870	44.6145	30.8123	46.4080	26.4257	59.2369	28.0618	101.0480	20.3334	100.4794	27.3391	101.0480	20.3334
it09	05/02/2018 12:08:15	1.3270	0.1431	Dico poto lentamente	-2.3427	10.6633	-4.5929	21.8382	-2.4177	32.2675	3.6448	42.0336	13.8008	46.4604	24.8877	45.6698	33.7817	40.0689	38.2389	37.2215	42.2858	34.6690	45.1365	31.0702	47.5031	26.4312	58.8705	27.4462	100.2066	18.4831	100.9454	25.8117	100.2066	18.4831
it09	05/02/2018 12:08:15	1.3436	0.1597	Dico poto lentamente	-2.4990	10.3932	-4.7609	21.5301	-2.0063	32.1020	4.0551	41.3378	14.6363	45.3436	25.0057	44.7537	33.3036	38.7826	37.8613	35.7327	41.3523	33.3579	43.9485	30.4374	46.3797	26.2775	59.1727	28.2480	102.6374	20.0148	104.2140	30.1148	102.6374	20.0148
it09	05/02/2018 12:08:15	1.3602	0.1762	Dico poto lentamente	-0.4333	9.8854	-4.1244	20.2516	-2.2979	31.5853	2.7276	41.4729	12.8001	45.4221	22.6381	44.9286	31.0235	38.6749	35.7346	35.7640	39.5546	33.8085	42.9443	31.3891	46.3428	27.1929	59.4295	28.6659	100.5355	20.1620	100.7850	27.6049	100.5355	20.1620
it09	05/02/2018 12:08:15	1.3768	0.1928	Dico poto lentamente	-3.3829	9.2125	-6.0846	19.8845	-3.8972	31.4493	0.9884	41.4036	11.0633	46.4038	22.2164	44.6679	30.3984	38.8284	35.4264	35.8371	39.3216	33.5838	43.4964	30.7159	46.0651	26.8617	59.1286	28.5659	100.4903	18.3108	100.2556	25.7231	100.4903	18.3108
it09	05/02/2018 12:08:15	1.3934	0.2094	Dico poto lentamente	-3.0863	9.4849	-6.1931	20.3948	-4.8444	30.5727	0.6402	40.3052	10.3093	45.5802	21.2096	45.0464	29.3180	38.0303	33.8023	34.9549	38.0721	33.7582	42.8270	31.3696	45.6111	27.3478	59.5305	29.4359	102.0927	19.4387	101.9115	26.8278	102.0927	19.4387
it09	05/02/2018 12:08:15	1.4099	0.2260	Dico poto lentamente	-4.2375	7.5451	-8.5486	18.3312	-7.3017	29.9695	-1.0873	39.5661	8.9525	44.9528	20.2127	43.6021	28.8421	38.7908	34.1486	36.2499	38.7499	34.0129	42.1691	31.2624	45.2727	27.5626	59.7120	29.7013	100.3565	18.0482	100.4159	25.4971	100.3565	18.0482
it09	05/02/2018 12:08:15	1.4265	0.2426	Dico poto lentamente	-0.7256	9.0532	-4.3503	19.8517	-3.9613	30.5766	0.9474	40.4058	10.8250	44.8503	21.3750	42.6383	30.3499	36.9607	35.5926	34.8185	40.0007	33.2439	44.0744	30.7380	47.8264	27.0431	59.7271	29.4163	100.8149	19.9093	101.2299	27.0361	100.8149	19.9093
it09	05/02/2018 12:08:15	1.4431	0.2591	Dico poto lentamente	-2.9560	7.7274	-7.2380	18.0583	-5.7864	28.3341	-0.3336	38.1545	9.4192	41.4952	19.7703	39.3023	28.7020	34.3808	34.3766	33.6959	39.0847	32.9210	43.2180	31.4112	47.2344	28.5921	61.0604	31.4806	101.2075	20.6993	101.6970	27.7168	101.2075	20.6993
it09	05/02/2018 12:08:15	1.4597	0.2757	Dico poto lentamente	-3.4311	9.0000	-5.4122	19.9670	-4.1916	30.3922	4.3278	38.4044	13.9935	40.9428	24.2693	38.3189	33.4252	34.4446	38.5790	33.3374	43.4895	32.7984	49.0381	32.2048	54.5705	31.5799	60.6483	30.4580	102.8505	21.9019	103.3432	30.1388	102.8505	21.9019
it09	05/02/2018 12:08:15	1.4763	0.2923	Dico poto lentamente	-0.8365	8.9300	-3.6509	19.0306	0.5239	28.5608	7.1249	35.3238	16.6569	37.7899	26.7657	35.6158	36.1117	32.9576	40.5006	31.7035	45.0486	30.7870	51.5557	31.0583	56.3661	31.0400	61.7279	31.2359	101.8427	24.3539	104.4214	33.8836	101.8427	24.3539
